StayID,GuestID,RoomID,CheckinDateTime,CheckoutDateTime,BookingSource,NumberOfGuests,RoomRate,ExtraCharges,DiscountAmount,TotalAmount,PaymentMode,Status,LastUpdated
5033,33,201,4/22/2024 12:00,4/23/2024 10:00,Online,1,2500,100,0,2600,UPI,CheckedOut,4/20/2024
5034,34,101,4/23/2024 12:00,4/24/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,4/21/2024
5035,35,102,4/24/2024 12:00,4/25/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,4/22/2024
5036,36,201,4/25/2024 12:00,4/26/2024 10:00,Online,1,2500,100,0,2600,UPI,CheckedOut,4/23/2024
5037,37,101,4/26/2024 12:00,4/27/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,4/24/2024
5038,38,102,4/27/2024 12:00,4/28/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,4/25/2024
5039,39,201,4/28/2024 12:00,4/29/2024 10:00,Online,1,2500,100,0,2600,UPI,CheckedOut,4/26/2024
5040,40,101,4/29/2024 12:00,4/30/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,4/27/2024
5041,41,102,4/30/2024 12:00,5/1/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,4/28/2024
5042,42,201,5/1/2024 12:00,5/2/2024 10:00,Online,1,2500,100,0,2600,UPI,CheckedOut,4/29/2024
5043,43,101,5/2/2024 12:00,5/3/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,4/30/2024
5044,44,102,5/3/2024 12:00,5/4/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,5/1/2024
5045,45,201,5/4/2024 12:00,5/5/2024 10:00,Online,1,2500,100,0,2600,UPI,CheckedOut,5/2/2024
5046,46,101,5/5/2024 12:00,5/6/2024 10:00,Online,1,3500,100,0,3600,Card,CheckedOut,5/3/2024
5047,47,102,5/6/2024 12:00,5/7/2024 10:00,Walk-in,1,5000,100,0,5100,Cash,CheckedOut,5/4/2024
5048,48,201,2/7/2026 12:00,,Online,1,2500,100,0,2600,UPI,CheckedIn,2/7/2026
5049,49,101,4/8/2026 12:00,,Online,1,3500,100,0,3600,Card,CheckedIn,4/8/2026
5050,50,102,4/9/2026 12:00,,Walk-in,1,5000,100,0,5100,Cash,CheckedIn,4/9/2026
